sep=;
Number;Time 80Se;80Se;Time 117Sn;117Sn;Time 122Sn;122Sn;Time 124Sn;124Sn;Time 121Sb;121Sb;Time 125Te;125Te
757;142.025;309675.881600644;142.056;6801.3180954469;142.119;4333.86856610125;142.15;5234.11400143665;142.088;31494.9113031233;142.182;4733.97194614887
758;142.213;352812.263726006;142.244;6234.44088175598;142.307;3366.9897293312;142.338;4067.13804796643;142.275;30994.0204394055;142.37;4733.97194614887
759;142.4;266001.394492159;142.432;5300.80068594361;142.495;4200.50280018518;142.526;5067.39839899548;142.463;32029.2106401038;142.557;4767.31430631518
760;142.588;405294.727156062;142.62;7068.09018002892;142.683;3000.25652193263;142.714;4300.52702958748;142.651;39110.2119766815;142.745;6234.44088175598
761;142.776;364616.63941809;142.808;4167.16151709682;142.87;3433.66931787609;142.902;5734.2703131025;142.839;23382.2380681081;142.933;4067.13804796643
762;142.964;331502.666052653;142.996;4233.84414662963;143.058;3066.93471676091;143.09;4533.91911568308;143.027;31294.5532430616;143.121;2833.56214347642
763;143.152;333778.545254191;143.183;5367.48762389874;143.246;2766.88483553595;143.277;4867.34176696975;143.215;35001.5474587867;143.309;4233.84414662963
764;143.34;254025.861686041;143.371;5100.74139276144;143.434;3533.68917583334;143.465;4567.26109569827;143.403;65421.7531537067;143.497;6201.09573361613
765;143.528;437282.576830594;143.559;4800.65672984064;143.622;3800.41158457461;143.653;3667.04987337843;143.59;41415.4934626845;143.684;3633.70960396282
766;143.715;257238.838068185;143.747;4100.47914098762;143.81;3066.93471676091;143.841;3967.11514903426;143.778;30626.7095534015;143.872;4567.26109569827
767;143.903;328887.46455102;143.935;5167.42757037641;143.997;2966.91751954294;144.029;4433.89355578411;143.966;41783.0300692978;144.06;3967.11514903426
768;144.091;333438.843222618;144.123;3433.66931787609;144.185;4400.55182919938;144.217;3467.00920717634;144.154;24917.6828336229;144.248;5134.08444988835
769;144.279;348629.890589599;144.31;4333.86856610125;144.373;2900.2397048116;144.404;4033.79701830059;144.342;24116.5644623009;144.436;5767.61457412192
770;144.467;290078.484025846;144.498;4133.82029736436;144.561;2533.51625320681;144.592;3533.68917583334;144.53;26319.7279520865;144.624;6567.89584837469
771;144.655;417475.405101157;144.686;3833.75217075799;144.749;2466.84008552468;144.78;2600.19267427716;144.717;27655.1131176692;144.811;5534.20607763178
772;144.842;334491.940729643;144.874;4867.34176696975;144.937;2100.1256925227;144.968;3233.63131245878;144.905;23248.727478233;144.999;4233.84414662963
773;145.03;388930.511868279;145.062;4300.52702958748;145.124;3567.02925519046;145.156;3400.32949192777;145.093;24149.9436645858;145.187;4000.45605198993
774;145.218;363255.503501058;145.25;3767.07106174515;145.312;3000.25652193263;145.344;2633.53097983337;145.281;23649.2622939514;145.375;2200.13794864938
775;145.406;513026.324838738;145.437;4567.26109569827;145.5;2400.16417122931;145.531;2566.85443206837;145.469;23983.0482877997;145.563;3767.07106174515
776;145.594;467069.032384151;145.625;4200.50280018518;145.688;2733.54627658828;145.719;3266.97082165016;145.657;15740.3913248034;145.751;4600.60313907153
777;145.782;229997.803193849;145.813;2933.57858050266;145.876;1800.09234473728;145.907;2633.53097983337;145.844;18176.0773307046;145.938;8402.01144153911
778;145.969;347405.968111364;146.001;2733.54627658828;146.064;2233.47549404853;146.095;2066.78840050346;146.032;18476.39079114;146.126;5334.14412324007
779;146.157;393838.191828323;146.189;3500.34915982869;146.251;1433.39188739193;146.283;3200.29186661824;146.22;17041.6061810539;146.314;5700.92611544745
780;146.345;426829.833006497;146.376;3000.25652193263;146.439;1966.77690451216;146.47;2800.22345783193;146.408;20879.0834575989;146.502;5500.86226015928
781;146.533;370845.169413233;146.564;3366.9897293312;146.627;1600.07296332713;146.658;2200.13794864938;146.596;25385.0187659835;146.69;2900.2397048116
782;146.721;342273.214165776;146.752;2800.22345783193;146.815;2066.78840050346;146.846;2933.57858050266;146.783;17175.0695694535;146.877;6034.37094341706
783;146.908;363663.833301726;146.94;3933.77430943342;147.003;1466.72797589606;147.034;2333.48851031927;146.971;23015.0863891281;147.065;5000.71260154572
784;147.096;358016.105875788;147.128;3000.25652193263;147.19;2266.81310279311;147.222;3633.70960396282;147.159;21079.322692011;147.253;4500.57719902578
785;147.284;342511.123533422;147.316;3266.97082165016;147.378;1633.40936853944;147.409;1933.43986586994;147.347;23348.8603254498;147.441;3400.32949192777
786;147.472;348085.91460584;147.503;2800.22345783193;147.566;2133.46304788664;147.597;2866.90089246958;147.535;16541.1275126173;147.629;7701.69013590032
787;147.66;320976.284588836;147.691;3266.97082165016;147.754;1933.43986586994;147.785;2733.54627658828;147.722;20345.1233323044;147.816;3967.11514903426
788;147.847;361792.398954874;147.879;2800.22345783193;147.942;2800.22345783193;147.973;1966.77690451216;147.91;20912.456504717;148.004;3467.00920717634
789;148.035;494094.402318083;148.067;3100.27390919988;148.129;1900.10289057152;148.161;2166.80046659548;148.098;17575.4658236313;148.192;2900.2397048116
790;148.223;279271.90937183;148.255;2200.13794864938;148.317;1300.04816678458;148.349;2233.47549404853;148.286;16240.8471612725;148.38;3366.9897293312
791;148.411;378233.749467951;148.442;2633.53097983337;148.505;2600.19267427716;148.537;2566.85443206837;148.474;17875.7690082457;148.568;5634.23791022982
792;148.599;470320.863513564;148.63;2566.85443206837;148.693;1266.71239498413;148.724;1733.41896423017;148.662;17175.0695694535;148.756;3100.27390919988
793;148.787;336292.542811298;148.818;2666.86934873717;148.881;2200.13794864938;148.912;1366.71990040679;148.849;15773.7546032977;148.943;6167.7506488432
794;148.974;374181.566256928;149.006;3100.27390919988;149.069;2100.1256925227;149.1;2266.81310279311;149.037;19343.9918728553;149.131;3667.04987337843
795;149.162;388623.826947775;149.194;2666.86934873717;149.256;1666.74583709393;149.288;2366.82630910122;149.225;14272.4698529089;149.319;4367.21016597182
796;149.35;451468.518511391;149.382;2833.56214347642;149.444;1966.77690451216;149.476;2066.78840050346;149.413;16841.4130012207;149.507;4233.84414662963
797;149.538;414233.231926799;149.569;2933.57858050266;149.632;2000.11400649837;149.663;1700.08236899078;149.601;12971.4602698094;149.695;3933.77430943342
798;149.726;342749.036096172;149.757;2466.84008552468;149.82;2133.46304788664;149.851;1800.09234473728;149.789;13671.9919075146;149.883;4867.34176696975
799;149.913;364480.521122946;149.945;3000.25652193263;150.008;1366.71990040679;150.039;1600.07296332713;149.976;16307.5756842841;150.07;5867.64773736836
800;150.101;367611.506381617;150.133;2833.56214347642;150.196;1066.69909431913;150.227;1866.76597861673;150.164;15573.5758836074;150.258;4167.16151709682
801;150.289;343326.837051024;150.321;2000.11400649837;150.383;1700.08236899078;150.415;1600.07296332713;150.352;12004.1054040482;150.446;4900.68438057375
802;150.477;359274.780838259;150.509;1666.74583709393;150.571;1200.04104140362;150.603;2666.86934873717;150.54;11303.6403373706;150.634;3233.63131245878
803;150.665;319041.469588764;150.696;2400.16417122931;150.759;1833.42913000538;150.79;2033.45117182874;150.728;11136.8670612519;150.822;5034.0554685903
804;150.853;374181.566256928;150.884;2500.17813769231;150.947;1366.71990040679;150.978;1666.74583709393;150.916;14038.9482106702;151.009;3967.11514903426
805;151.04;422322.705047262;151.072;2800.22345783193;151.135;1633.40936853944;151.166;1866.76597861673;151.103;11170.2215896876;151.197;3700.39020614724
806;151.228;393429.166638016;151.26;2566.85443206837;151.322;933.358160660407;151.354;2033.45117182874;151.291;9535.92424395042;151.385;3633.70960396282
807;151.416;339894.296205847;151.448;1900.10289057152;151.51;1200.04104140362;151.542;2133.46304788664;151.479;12871.3866041344;151.573;5167.42757037641
808;151.604;418601.772260735;151.635;2166.80046659548;151.698;1566.73662145681;151.729;1900.10289057152;151.667;10136.2606854193;151.761;6001.02617547601
809;151.792;374181.566256928;151.823;2466.84008552468;151.886;1566.73662145681;151.917;1566.73662145681;151.854;14305.8303411555;151.948;6334.47670637884
810;151.979;380924.365790836;152.011;1933.43986586994;152.074;1666.74583709393;152.105;1600.07296332713;152.042;10936.7412218981;152.136;2766.88483553595
811;152.167;345230.314668545;152.199;2066.78840050346;152.261;1133.36994118243;152.293;2200.13794864938;152.23;15239.9497575206;152.324;4267.18555643033
812;152.355;512271.406240813;152.387;2400.16417122931;152.449;1100.03448608114;152.481;1266.71239498413;152.418;11203.5761815171;152.512;5567.54995846758
